MEMBER,PARTY,DISTRICT,TRUMP SCORE,TRUMP MARGIN,PREDICTED SCORE,TRUMP PLUS-MINUS
David G. Valadao*,R,CA-21,97.90%,-15.5,38.80%,59.1
Barbara Comstock*,R,VA-10,97.80%,-10,47.70%,50.1
Erik Paulsen*,R,MN-3,96.90%,-9.4,49.60%,47.3
Edward R. Royce*,R,CA-39,97.90%,-8.6,51.40%,46.5
Carlos Curbelo*,R,FL-26,82.40%,-16.3,37.20%,45.3
Mike Coffman*,R,CO-6,94.80%,-8.9,50.60%,44.2
Stephen Knight*,R,CA-25,98.90%,-6.7,54.80%,44.1
Mimi Walters*,R,CA-45,98.90%,-5.4,57.80%,41.1
Darrell E. Issa*,R,CA-49,93.40%,-7.5,52.70%,40.8
Peter J. Roskam*,R,IL-6,94.70%,-7,55.00%,39.7
Ileana Ros-Lehtinen*,R,FL-27,70.80%,-19.6,32.20%,38.6
Will Hurd,R,TX-23,81.40%,-3.4,43.10%,38.3
Don Bacon,R,NE-2,94.00%,2.2,55.80%,38.3
Mario Diaz-Balart,R,FL-25,91.50%,1.8,54.60%,36.8
Jeff Denham*,R,CA-10,97.90%,-3,62.90%,35
Dan Crenshaw,R,TX-2,94.30%,9.3,61.40%,32.9
John Katko,R,NY-24,75.60%,-3.6,42.90%,32.7
Pete Sessions*,R,TX-32,97.90%,-1.9,65.30%,32.6
Rob Woodall,R,GA-7,98.20%,6.3,66.70%,31.5
John Culberson*,R,TX-7,97.90%,-1.4,66.50%,31.4
Bryan Steil,R,WI-1,94.40%,10.3,64.70%,29.7
David G. Reichert*,R,WA-8,92.50%,-3,62.90%,29.6
Ross Spano,R,FL-15,93.00%,10,63.70%,29.3
Steve Chabot,R,OH-1,95.20%,6.6,67.50%,27.7
Chip Roy,R,TX-21,92.50%,10,65.10%,27.4
Rodney Davis,R,IL-13,91.60%,5.5,64.80%,26.8
Denver Riggleman,R,VA-5,94.40%,11.1,67.90%,26.6
Ryan A. Costello*,R,PA-6,95.70%,-0.6,69.20%,26.5
Karen C. Handel*,R,GA-6,98.40%,1.5,72.00%,26.4
Kenny Marchant,R,TX-24,94.10%,6.2,67.80%,26.3
Patrick Meehan*,R,PA-7,88.70%,-2.3,62.50%,26.2
Michael Turner,R,OH-10,95.20%,7.3,69.50%,25.7
Kevin Yoder*,R,KS-3,92.60%,-1.2,67.10%,25.5
Pete Olson,R,TX-22,96.30%,7.9,71.00%,25.3
Troy Balderson,R,OH-12,94.90%,11.3,70.30%,24.5
Ron Wright,R,TX-6,95.60%,12.3,72.00%,23.6
David Young*,R,IA-3,99.00%,3.5,76.00%,22.9
Devin Nunes,R,CA-22,97.50%,9.5,74.60%,22.9
Dan Bishop,R,NC-9,95.80%,11.6,73.00%,22.9
Henry Cuellar,D,TX-28,44.30%,-19.8,21.50%,22.8
Michael T. McCaul,R,TX-10,96.40%,9.1,74.00%,22.5
Paul D. Ryan*,R,WI-1,95.50%,10.3,73.20%,22.2
Scott Taylor*,R,VA-2,97.80%,3.4,75.90%,21.9
David A. Trott*,R,MI-11,98.90%,4.4,77.20%,21.7
Randy Hultgren*,R,IL-14,96.80%,3.9,76.70%,20.2
Leonard Lance*,R,NJ-7,86.50%,-1.1,67.20%,19.3
French Hill,R,AR-2,97.00%,10.7,77.70%,19.3
Jason Lewis*,R,MN-2,90.30%,1.2,71.60%,18.8
Dana Rohrabacher*,R,CA-48,84.20%,-1.7,65.80%,18.4
Rodney P. Frelinghuysen*,R,NJ-11,89.40%,0.9,71.10%,18.3
Ann Wagner,R,MO-2,95.10%,10.3,77.00%,18.1
Van Taylor,R,TX-3,95.80%,14.2,77.80%,18.1
Ken Calvert,R,CA-42,97.60%,12,80.40%,17.2
Mike Bishop*,R,MI-8,97.90%,6.7,81.10%,16.8
George Holding,R,NC-2,92.10%,9.6,75.30%,16.8
Rod Blum*,R,IA-1,92.50%,3.5,76.10%,16.4
Ted Budd,R,NC-13,92.10%,9.4,75.80%,16.3
Mark Amodei,R,NV-2,97.00%,12.3,80.90%,16.1
Brian Fitzpatrick,R,PA-1,64.50%,-2,48.80%,15.7
Susan W. Brooks,R,IN-5,95.80%,11.8,80.30%,15.5
John Carter,R,TX-31,97.50%,12.7,82.00%,15.5
Brian Mast,R,FL-18,90.70%,9.2,75.30%,15.4
David Joyce,R,OH-14,94.60%,11.5,79.40%,15.2
Vern Buchanan,R,FL-16,92.50%,10.7,77.50%,15
Jim Hagedorn,R,MN-1,94.40%,14.9,79.50%,14.8
Mia B. Love*,R,UT-4,95.70%,6.7,81.10%,14.6
David Schweikert,R,AZ-6,90.50%,10,76.10%,14.4
Thomas MacArthur*,R,NJ-3,94.80%,6.2,80.50%,14.3
Scott Tipton,R,CO-3,94.60%,12,80.40%,14.2
Dennis A. Ross*,R,FL-15,97.80%,10,85.50%,12.4
Cathy McMorris Rodgers,R,WA-5,94.60%,13.1,82.70%,11.9
Chris Stewart,R,UT-2,95.70%,14,83.80%,11.9
Robert J. Wittman,R,VA-1,92.80%,12.4,81.10%,11.7
Patrick J. Tiberi*,R,OH-12,98.30%,11.3,86.70%,11.6
Jaime Herrera Beutler,R,WA-3,81.50%,7.4,70.00%,11.4
Beto O’Rourke*,D,TX-16,30.10%,-40.7,18.80%,11.3
Lamar Smith*,R,TX-21,96.80%,10,85.60%,11.2
Mike Bost,R,IL-12,96.40%,14.8,85.30%,11.2
Charles W. Dent*,R,PA-15,93.00%,7.6,81.90%,11
Scott Perry,R,PA-10,89.70%,8.9,78.80%,10.9
Bruce Poliquin*,R,ME-2,96.80%,10.3,86.00%,10.9
Robert Pittenger*,R,NC-9,97.80%,11.6,87.30%,10.5
Andy Barr,R,KY-6,96.40%,15.3,86.00%,10.4
Buddy Carter,R,GA-1,96.30%,15.5,86.00%,10.3
Tim Walberg,R,MI-7,98.20%,17,88.20%,10.1
J. Luis Correa,D,CA-46,23.80%,-38.4,13.90%,9.9
Rick Allen,R,GA-12,97.00%,16.2,87.10%,9.9
Alexandria Ocasio-Cortez,D,NY-14,13.90%,-57.9,4.00%,9.9
Anthony Gonzalez,R,OH-16,93.00%,16.6,83.30%,9.7
Lloyd Smucker,R,PA-11,95.70%,25.8,86.10%,9.6
Steve Stivers,R,OH-15,95.50%,15.4,86.00%,9.6
Duncan D. Hunter*,R,CA-50,95.30%,15,85.70%,9.6
